# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:21:26+08:00
Warning: Permanently added '100.121.87.73' (ED25519) to the list of known hosts.
printf：用法： printf [-v var] 格式 [参数]
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 291860 675640 1381632    0    0     0    16  763 1131  0  1 99  0  0
 0  0      0 291608 675640 1381632    0    0     0     0 1430 2247  1  1 98  0  0
 0  0      0 291860 675640 1381632    0    0     0     0  804 1219  0  0 99  0  0
 0  0      0 291608 675640 1381632    0    0     0     0  727 1160  0  0 100  0  0
 0  0      0 291612 675640 1381632    0    0     0     0 1301 2007  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 291608 675640 1381632    0    0     0     4  700 1088  0  0 100  0  0
 0  0      0 291608 675640 1381632    0    0     0     0  817 1251  0  0 99  0  0
 0  0      0 291608 675644 1381628    0    0     0    24  981 1589  1  1 98  0  0
 0  0      0 291608 675644 1381628    0    0     0     0  739 1113  0  0 100  0  0
 0  0      0 291608 675644 1381628    0    0     0     0  971 1507  0  1 99  0  0
 0  0      0 291616 675644 1381628    0    0     0   204 1242 1933  1  1 98  0  0
 0  0      0 291856 675644 1381632    0    0     0     0  668 1067  0  0 100  0  0
 0  0      0 291608 675644 1381632    0    0     0     0  734 1106  0  0 100  0  0
 0  0      0 291608 675644 1381632    0    0     0     0 1021 1600  1  1 98  0  0
 0  0      0 291356 675644 1381632    0    0     0     0  905 1338  0  0 100  0  0
 0  0      0 291356 675652 1381632    0    0     0   252  815 1277  0  0 99  0  0
 0  0      0 291356 675652 1381632    0    0     0     0 1070 1668  1  1 98  0  0
 0  0      0 291352 675652 1381632    0    0     0     0  691 1103  0  0 100  0  0
 0  0      0 291356 675652 1381632    0    0     0     0  760 1197  0  0 100  0  0
 0  0      0 291356 675652 1381632    0    0     0     0 1206 1939  1  1 98  0  0
 0  0      0 291356 675656 1381632    0    0     0    36  813 1228  0  0 99  0  0
 0  0      0 291356 675656 1381632    0    0     0     0  631  975  0  0 99  0  0
 0  0      0 291356 675656 1381632    0    0     0     0  833 1283  1  0 99  0  0
 0  0      0 291356 675656 1381632    0    0     0     0  782 1221  0  0 100  0  0
 0  0      0 291608 675656 1381632    0    0     0     0  981 1486  1  1 98  0  0
 0  0      0 291608 675656 1381636    0    0     0     0 1385 2104  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 291608 675656 1381632    0    0     0     0 1077 1689  0  1 99  0  0
 0  0      0 291608 675656 1381636    0    0     0     0  825 1287  1  0 99  0  0
 0  0      0 291608 675656 1381636    0    0     0    24  947 1460  1  1 98  0  0
 0  0      0 291608 675656 1381636    0    0     0     0 1025 1516  0  0 99  0  0
 0  0      0 291608 675656 1381636    0    0     0     0  791 1206  0  0 99  0  0
 0  0      0 291856 675656 1381636    0    0     0     0  682 1050  1  1 99  0  0
 0  0      0 291860 675656 1381636    0    0     0     0  876 1318  0  1 99  0  0
 0  0      0 292112 675656 1381636    0    0     0     0  588  889  0  0 100  0  0
 0  0      0 292104 675656 1381636    0    0     0     0 1090 1643  1  1 98  0  0
 1  0      0 292364 675656 1381632    0    0     0     0  804 1286  0  1 99  0  0
 0  0      0 292112 675656 1381632    0    0     0     0  789 1200  0  0 100  0  0
