# host=Phytium-Pi
# captured_at=2026-03-30T15:19:36+08:00
top - 15:19:36 up 11 days, 21:19,  1 user,  load average: 0.80, 0.50, 0.19
任务: 229 total,   1 running, 228 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.4 us,  2.8 sy,  0.0 ni, 95.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3461.3 total,    255.4 free,   1811.8 used,   1394.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1352.5 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
   3234 user      20   0  436884  19980  12488 S   0.0   0.6   0:00.42 xdg-desktop-por
   3239 user      20   0   32.3g  29604  19752 S   0.0   0.8  52:36.22 cfw
   3249 user      20   0  223568  26400  17452 S   0.0   0.7   0:00.20 Socket Process
   3257 user      20   0 1129.7g 118292  59540 S   0.0   3.3 712:11.95 cfw
   3328 user      20   0 2603296 123012  53832 S   0.0   3.5   0:14.33 Privileged Cont
   3336 user      20   0  266856  27284  15664 S   0.0   0.8   0:00.48 RDD Process
   3406 user      20   0 2489936  69872  45212 S   0.0   2.0   0:03.53 WebExtensions
   3439 user      20   0 5518420  41288   7468 S   0.0   1.2 160:05.70 clash-linux
   3474 user      20   0  245036   5928   5276 S   0.0   0.2   0:00.01 gnome-keyring-d
   3498 user      20   0 2692672 134408  55948 S   0.0   3.8  36:37.16 Isolated Web Co
   3528 user      20   0  222500  26792  15880 S   0.0   0.8   0:00.50 Utility Process
 119786 root       0 -20       0      0      0 S   0.0   0.0   0:00.07 loop10
 119816 root      20   0 2070776  38532   8952 S   0.0   1.1   1:42.75 snapd
 495653 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop9
1331083 root       0 -20       0      0      0 I   0.0   0.0   0:06.78 kworker/2:1H-kblockd
1344978 user      20   0  607628  46948  27120 S   0.0   1.3   0:02.77 gnome-terminal-
1344989 user      20   0   19340   8592   3108 S   0.0   0.2   0:00.16 bash
1347991 user      20   0 2430484  57432  44468 S   0.0   1.6   0:00.31 Web Content
1369806 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
1386897 user      20   0 2430484  59660  44372 S   0.0   1.7   0:00.33 Web Content
1387124 user      20   0 2430484  59580  44304 S   0.0   1.7   0:00.31 Web Content
2147427 root      20   0       0      0      0 I   0.0   0.0   0:00.49 kworker/3:2-mm_percpu_wq
2164581 root       0 -20       0      0      0 I   0.0   0.0   0:02.14 kworker/1:0H-kblockd
2164594 root      20   0   35252   6732   5440 S   0.0   0.2   0:00.02 cupsd
2164596 root      20   0  172488   9500   8068 S   0.0   0.3   0:00.05 cups-browsed
