# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-30T15:17:30+08:00
# started_remote=2026-03-30T15:17:30+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 261784 523688 903908    0    0     0     0  519  897  1  0 99  0  0
 2  0      0 260456 523688 906008    0    0     0     0  817 1382  1  1 98  0  0
 0  0      0 254680 523688 904028    0    0     0     0  878 1334  9  1 90  0  0
 0  0      0 260728 523404 903612    0    0     0     0  635 1052  0  0 100  0  0
 1  0      0 260224 523404 903612    0    0     0     0  727 1216  0  0 99  0  0
 0  0      0 259608 523404 903612    0    0     0     0  796 1188  4  3 93  0  0
 0  0      0 265436 523404 903612    0    0     0     0  701 1187  1  0 99  0  0
 0  0      0 265184 523404 903612    0    0     0   212  625 1033  0  1 99  1  0
 0  0      0 265184 523404 903612    0    0     0     0  780 1328  0  1 99  0  0
 0  0      0 264932 523404 903612    0    0     0     0  611 1025  0  0 100  0  0
 0  0      0 265940 523404 903616    0    0     0     0  786 1288  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0     0  533  901  0  1 99  0  0
 0  0      0 265688 523404 903616    0    0     0    44  647 1080  0  0 99  0  0
 0  0      0 265436 523404 903616    0    0     0     0  949 1499  0  0 99  0  0
 0  0      0 265688 523404 903616    0    0     0     0  790 1342  1  0 99  0  0
 0  0      0 265688 523404 903612    0    0     0     0  714 1180  0  1 99  0  0
 0  0      0 265688 523404 903612    0    0     0     0  813 1281  0  0 100  0  0
 0  0      0 265436 523404 903612    0    0     0    64  623  974  0  0 100  0  0
 0  0      0 265688 523404 903612    0    0     0    20  587  998  1  0 99  0  0
 0  0      0 265436 523404 903612    0    0     0     0  643 1071  0  0 100  0  0
 0  0      0 265688 523404 903612    0    0     0     0  457  813  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 265184 523404 903616    0    0     0   132  777 1287  1  0 99  0  0
 0  0      0 265436 523404 903612    0    0     0     0  864 1428  0  0 100  0  0
 0  0      0 265436 523404 903616    0    0     0     0  544  976  0  0 100  0  0
 0  0      0 265436 523404 903616    0    0     0    48  671 1134  0  0 100  0  0
 0  0      0 265436 523404 903616    0    0     0     0  501  894  0  0 100  0  0
 0  0      0 265436 523404 903612    0    0     0     0  527  922  0  0 100  0  0
 0  0      0 265436 523404 903612    0    0     0     0  597  972  1  0 99  0  0
 0  0      0 265436 523404 903612    0    0     0     0  779 1275  0  0 100  0  0
 0  0      0 265436 523404 903612    0    0     0    48  633 1031  0  0 100  0  0
 0  0      0 265436 523404 903612    0    0     0     0  556 1000  0  0 100  0  0
 0  0      0 265436 523404 903612    0    0     0     0  676 1092  0  0 100  0  0
 0  0      0 265688 523404 903612    0    0     0     0  536  937  0  0 100  0  0
 0  0      0 265436 523404 903612    0    0     0     0  549  928  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0    32 1365 2199  1  1 99  0  0
 0  0      0 265436 523404 903616    0    0     0     0  459  732  0  0 99  0  0
 0  0      0 265688 523404 903616    0    0     0     0  793 1350  2  1 97  0  0
 0  0      0 265436 523404 903616    0    0     0     0  632 1009  0  0 99  0  0
 0  0      0 265436 523404 903616    0    0     0     0  511  890  0  0 100  0  0
 0  0      0 265436 523404 903616    0    0     0    76  853 1418  0  1 99  0  0
 0  0      0 265688 523404 903616    0    0     0     0  760 1177  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0     0  671 1023  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 265688 523404 903616    0    0     0     0  594  905  0  0 99  0  0
 0  0      0 265688 523404 903616    0    0     0     0  921 1375  0  1 99  0  0
 0  0      0 265688 523404 903616    0    0     0    52  578  893  0  0 99  0  0
 0  0      0 265436 523404 903616    0    0     0     0  832 1225  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0     0  860 1376  3  0 97  0  0
 0  0      0 265688 523404 903616    0    0     0     0  770 1137  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0     0  535  811  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0    16  814 1306  1  0 99  0  0
 0  0      0 265688 523404 903616    0    0     0    32  873 1346  0  1 99  0  0
 0  0      0 265688 523404 903616    0    0     0     0  695 1063  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0     0  696 1115  0  0 100  0  0
 0  0      0 265688 523404 903616    0    0     0     0  638  952  0  1 100  0  0
 0  0      0 265436 523404 903616    0    0     0     0  501  780  0  0 99  0  0
 0  0      0 265436 523404 903616    0    0     0    28 1267 2018  0  1 99  0  0
 1  0      0 265436 523404 903616    0    0     0     0  898 1486  1  1 99  0  0
 0  0      0 265436 523404 903616    0    0     0     0  610 1045  0  0 99  0  0
 0  0      0 265688 523404 903616    0    0     0     0  497  912  0  0 100  0  0
 0  0      0 265436 523404 903616    0    0     0     0  683 1154  1  0 99  0  0
 0  0      0 265688 523404 903616    0    0     0    24  871 1451  1  1 98  0  0
 1  0      0 265656 523404 903492    0    0     0     0  819 1382  2  1 97  0  0
 0  0      0 256584 523404 903616    0    0     0     0  861 1425  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 256836 523404 903616    0    0     0     0  616  995  0  0 100  0  0
 0  0      0 260312 523120 903404    0    0     0     0  484  856  0  0 100  0  0
 0  0      0 258964 523120 903320    0    0     0   172 1133 1698  4  4 93  0  0
 0  0      0 265296 523120 903320    0    0     0     0  573  996  0  0 100  0  0
 0  0      0 265044 523120 903320    0    0     0     0  729 1245  1  0 99  0  0
 0  0      0 265296 523120 903320    0    0     0     0  533  919  1  0 99  0  0
 0  0      0 265044 523120 903320    0    0     0     0  619 1089  0  0 100  0  0
 0  0      0 266304 523120 903320    0    0     0   116  880 1407  0  0 99  0  0
 0  0      0 266304 523120 903320    0    0     0     0  543  921  0  0 100  0  0
 0  0      0 266304 523120 903320    0    0     0     0  736 1260  0  0 99  0  0
 0  0      0 266052 523120 903320    0    0     0     0  622 1006  0  0 100  0  0
 0  0      0 266052 523120 903320    0    0     0     0  501  882  0  0 100  0  0
 0  0      0 266300 523124 903316    0    0     0    44 1028 1631  0  1 99  0  0
 0  0      0 266304 523124 903320    0    0     0     0  520  917  0  0 100  0  0
 0  0      0 266300 523124 903316    0    0     0     0 1214 1958  1  1 99  0  0
 0  0      0 266304 523124 903320    0    0     0     0  824 1427  1  0 99  0  0
 0  0      0 266300 523124 903320    0    0     0     0  483  778  0  0 99  0  0
 0  0      0 266052 523124 903320    0    0     0     0  394  651  0  0 100  0  0
 0  0      0 266052 523124 903320    0    0     0   156 1030 1622  1  1 99  0  0
