# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:22:27+08:00
Warning: Permanently added '100.121.87.73' (ED25519) to the list of known hosts.
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
printf：用法： printf [-v var] 格式 [参数]
 0  0      0 292364 675660 1381632    0    0     0    16 1165 1749  0  0 99  0  0
 0  0      0 292360 675660 1381632    0    0     0     0  792 1284  1  1 98  0  0
 0  0      0 292364 675660 1381632    0    0     0     0  736 1116  0  1 100  0  0
 1  0      0 292612 675660 1381632    0    0     0     0  833 1318  0  0 99  0  0
 0  0      0 292364 675660 1381632    0    0     0     0  843 1279  1  1 98  0  0
 0  0      0 292616 675660 1381632    0    0     0     0  973 1445  0  1 99  0  0
 2  0      0 292112 675660 1381632    0    0     0     0  919 1397  1  1 99  0  0
 0  0      0 292364 675660 1381632    0    0     0     0 1075 1673  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 292112 675660 1381632    0    0     0     0 1049 1655  0  0 100  0  0
 0  0      0 292364 675660 1381632    0    0     0     0  720 1122  0  0 99  0  0
 0  0      0 292112 675660 1381632    0    0     0    24 1421 2146  2  0 98  0  0
 0  0      0 282216 675660 1381568    0    0     0     0 1351 1897 18  2 80  0  0
 0  0      0 282472 675660 1381632    0    0     0   192  793 1170  0  1 100  0  0
 0  0      0 282228 675660 1381632    0    0     0     0  889 1406  1  1 98  0  0
 0  0      0 282468 675660 1381632    0    0     0     0  716 1134  0  0 100  0  0
 0  0      0 288832 675660 1381632    0    0     0     0  962 1482  0  1 100  0  0
 0  0      0 288584 675660 1381632    0    0     0    60 1114 1689  1  1 97  0  0
 0  0      0 288584 675660 1381632    0    0     0     0  732 1146  0  1 99  0  0
 0  0      0 288832 675660 1381632    0    0     0     0  709 1072  0  0 100  0  0
 0  0      0 290096 675660 1381632    0    0     0     0  988 1576  2  1 98  0  0
 0  0      0 290096 675660 1381632    0    0     0     0  954 1450  0  1 100  0  0
 0  0      0 290096 675660 1381632    0    0     0     0  708 1134  0  0 100  0  0
 0  0      0 290104 675664 1381628    0    0     0    20 1089 1681  2  1 98  0  0
 0  0      0 290096 675664 1381632    0    0     0     0  764 1218  0  0 100  0  0
 0  0      0 290096 675664 1381632    0    0     0     0  630  915  0  1 100  0  0
 1  0      0 290096 675664 1381632    0    0     0     0 1080 1676  2  1 97  0  0
 1  0      0 290096 675664 1381632    0    0     0     0  845 1266  0  0 100  0  0
 0  0      0 290096 675668 1381632    0    0     0    52  806 1261  0  0 99  0  0
 0  0      0 290104 675668 1381632    0    0     0     0  848 1313  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 290096 675668 1381632    0    0     0     0 1420 2163  1  0 99  0  0
 0  0      0 290096 675668 1381632    0    0     0     0 1257 1906  0  1 99  0  0
 0  0      0 289844 675668 1381632    0    0     0   128  923 1459  1  1 98  0  0
 0  0      0 290340 675668 1381632    0    0     0     0  859 1309  0  0 99  0  0
 0  0      0 290600 675672 1381632    0    0     0    84  754 1190  0  1 99  0  0
 0  0      0 290340 675672 1381632    0    0     0     0  884 1368  1  1 98  0  0
 0  0      0 290600 675672 1381632    0    0     0     0 1075 1737  0  1 99  0  0
 0  0      0 290348 675672 1381632    0    0     0     0  783 1202  0  0 100  0  0
 0  0      0 290600 675672 1381632    0    0     0     0  901 1429  1  1 98  0  0
 0  0      0 290348 675672 1381632    0    0     0     0  810 1218  0  0 99  0  0
 0  0      0 290600 675672 1381632    0    0     0     0  702 1114  0  1 100  0  0
 0  0      0 290356 675676 1381628    0    0     0    20 1156 1736  1  1 98  0  0
 0  0      0 290600 675676 1381632    0    0     0     0  857 1337  0  0 99  0  0
 0  0      0 290348 675676 1381632    0    0     0     0  864 1318  0  0 99  0  0
 0  0      0 290608 675676 1381632    0    0     0     0  800 1255  1  1 98  0  0
 0  0      0 290348 675676 1381632    0    0     0     0  921 1439  0  1 99  0  0
 0  0      0 290600 675676 1381632    0    0     0     4  968 1493  1  0 99  0  0
 0  0      0 290096 675676 1381632    0    0     0     0  922 1374  1  1 98  0  0
 0  0      0 290096 675676 1381632    0    0     0     0  794 1255  1  0 99  0  0
 0  0      0 290092 675676 1381632    0    0     0     0  748 1141  0  0 100  0  0
 0  0      0 290088 675676 1381632    0    0     0     0  795 1272  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 290096 675676 1381632    0    0     0   128 1131 1636  0  1 99  0  0
 0  0      0 290344 675676 1381632    0    0     0     0 1557 2416  1  1 99  0  0
 1  0      0 290096 675676 1381632    0    0     0     0  857 1317  1  1 99  0  0
 0  0      0 290348 675676 1381632    0    0     0     0  813 1280  1  0 99  0  0
 0  0      0 290348 675676 1381632    0    0     0     0  852 1284  1  0 99  0  0
 1  0      0 290096 675676 1381632    0    0     0     0  793 1239  1  1 99  0  0
 0  0      0 290348 675676 1381632    0    0     0     0 1020 1554  1  0 99  0  0
 0  0      0 290096 675676 1381632    0    0     0    24  906 1447  0  0 99  0  0
 1  0      0 290348 675676 1381632    0    0     0     0  755 1163  0  0 100  0  0
 0  0      0 290096 675676 1381632    0    0     0     0  793 1227  1  1 99  0  0
 0  0      0 290348 675676 1381632    0    0     0     0  968 1479  0  0 99  0  0
 0  0      0 290096 675676 1381632    0    0     0     4  909 1385  0  1 99  0  0
 0  0      0 290348 675676 1381632    0    0     0    16  886 1379  1  1 99  0  0
